Sample index,Actual category,Classification result
1,usa,usa
2,usa,usa
3,usa,usa
4,usa,usa
5,usa,usa
6,usa,usa
7,usa,usa
8,usa,usa
9,usa,usa
10,usa,usa
11,usa,usa
12,canada,usa
13,usa,usa
14,usa,usa
15,canada,usa
16,usa,usa
17,usa,usa
18,usa,usa
19,usa,usa
20,usa,usa
21,usa,usa
22,usa,usa
23,usa,usa
24,usa,usa
25,usa,usa
26,usa,west-germany
27,usa,usa
28,usa,usa
29,usa,usa
30,usa,usa
31,usa,uk
32,canada,usa
33,usa,usa
34,usa,usa
35,usa,usa
36,usa,usa
37,usa,usa
38,usa,usa
39,usa,usa
40,usa,usa
41,usa,usa
42,usa,usa
43,usa,usa
44,usa,usa
45,usa,usa
46,usa,usa
47,usa,usa
48,usa,usa
49,usa,usa
50,usa,usa
51,usa,usa
52,usa,usa
53,usa,usa
54,canada,usa
55,usa,usa
56,usa,usa
57,usa,usa
58,usa,usa
59,usa,usa
60,canada,canada
61,usa,usa
62,japan,japan
63,west-germany,usa
64,west-germany,usa
65,usa,usa
66,usa,usa
67,japan,usa
68,uk,usa
69,usa,uk
70,usa,uk
71,japan,west-germany
72,japan,japan
73,japan,west-germany
74,japan,japan
75,japan,japan
76,japan,usa
77,west-germany,usa
78,uk,usa
79,uk,uk
80,west-germany,france
81,japan,japan
82,west-germany,usa
83,japan,japan
84,france,usa
85,france,france
86,west-germany,usa
87,usa,usa
88,usa,usa
89,usa,usa
90,france,usa
91,uk,uk
92,usa,usa
93,canada,canada
94,usa,usa
95,usa,usa
96,usa,usa
97,usa,usa
98,usa,usa
99,usa,usa
100,canada,usa
101,usa,usa
102,canada,usa
103,usa,usa
104,usa,usa
105,usa,usa
106,usa,usa
107,usa,usa
108,usa,usa
109,usa,usa
110,usa,usa
111,usa,usa
112,usa,usa
113,usa,usa
114,usa,usa
115,usa,usa
116,usa,usa
117,usa,usa
118,uk,uk
119,usa,usa
120,usa,usa
121,canada,canada
122,usa,usa
123,usa,usa
124,usa,usa
125,usa,usa
126,usa,usa
127,usa,usa
128,usa,canada
129,usa,usa
130,usa,usa
131,usa,usa
132,usa,usa
133,usa,usa
134,usa,usa
135,usa,usa
136,usa,usa
137,usa,usa
138,usa,usa
139,usa,usa
140,usa,usa
141,usa,usa
142,usa,usa
143,usa,usa
