Sample index,Actual category,Classification result
1,usa,canada
2,usa,usa
3,usa,usa
4,usa,usa
5,japan,japan
6,japan,japan
7,uk,usa
8,japan,usa
9,usa,usa
10,japan,usa
11,west-germany,usa
12,japan,japan
13,uk,uk
14,japan,japan
15,japan,usa
16,japan,japan
17,japan,usa
18,uk,uk
19,japan,usa
20,usa,usa
21,canada,usa
22,usa,usa
23,usa,usa
24,canada,usa
25,usa,usa
26,usa,usa
27,usa,usa
28,usa,usa
29,uk,usa
30,usa,usa
31,usa,usa
32,usa,usa
33,usa,usa
34,france,usa
35,usa,usa
36,usa,usa
37,usa,usa
38,canada,canada
39,usa,usa
40,usa,west-germany
41,usa,usa
42,usa,usa
43,usa,usa
44,usa,usa
45,usa,usa
46,uk,uk
47,canada,usa
48,usa,usa
49,usa,usa
50,usa,uk
51,usa,usa
52,usa,usa
53,usa,usa
54,uk,uk
55,usa,usa
56,usa,usa
57,usa,usa
58,canada,usa
59,usa,usa
60,usa,usa
61,canada,usa
62,usa,usa
63,usa,usa
64,west-germany,west-germany
65,usa,usa
66,usa,usa
67,usa,usa
68,usa,usa
69,usa,usa
70,usa,usa
71,usa,usa
72,usa,usa
73,usa,usa
74,usa,usa
75,usa,usa
76,usa,usa
77,usa,usa
78,usa,usa
79,usa,usa
80,usa,usa
81,usa,usa
82,uk,uk
83,usa,usa
84,usa,usa
85,usa,usa
86,usa,usa
87,usa,usa
88,usa,usa
89,usa,usa
90,usa,usa
91,usa,usa
92,usa,usa
93,usa,usa
94,usa,usa
95,usa,usa
96,west-germany,usa
97,uk,uk
98,usa,usa
99,usa,usa
100,usa,usa
101,usa,usa
102,usa,usa
103,usa,usa
104,usa,usa
105,usa,usa
106,usa,usa
107,usa,usa
108,usa,usa
109,canada,usa
110,usa,usa
111,usa,usa
112,usa,usa
113,usa,usa
114,usa,usa
115,usa,usa
116,usa,usa
117,usa,usa
118,usa,usa
119,canada,canada
120,west-germany,uk
121,usa,canada
122,usa,usa
123,uk,uk
124,usa,usa
125,usa,usa
126,canada,canada
127,usa,usa
128,usa,usa
129,usa,usa
130,usa,usa
131,usa,usa
132,usa,usa
133,usa,usa
134,usa,usa
135,usa,usa
136,usa,usa
137,usa,usa
138,usa,canada
139,usa,usa
140,usa,usa
141,usa,usa
142,usa,usa
143,usa,usa
144,usa,usa
145,usa,usa
146,usa,usa
147,usa,usa
148,usa,usa
149,usa,usa
150,canada,usa
151,usa,usa
152,usa,usa
153,usa,usa
154,west-germany,usa
155,usa,usa
156,usa,usa
157,usa,usa
158,usa,usa
159,usa,usa
160,usa,usa
