Sample index,Actual category,Classification result
1,usa,usa
2,usa,usa
3,uk,uk
4,japan,japan
5,usa,usa
6,usa,usa
7,usa,usa
8,usa,usa
9,usa,usa
10,usa,usa
11,usa,usa
12,usa,usa
13,uk,uk
14,usa,usa
15,usa,usa
16,usa,usa
17,usa,usa
18,japan,japan
19,usa,usa
20,usa,usa
21,usa,usa
22,usa,usa
23,usa,usa
24,usa,usa
25,usa,usa
26,west-germany,usa
27,canada,canada
28,usa,usa
29,usa,usa
30,usa,usa
31,usa,usa
32,usa,usa
33,japan,japan
34,usa,usa
35,usa,usa
36,usa,usa
37,usa,usa
38,japan,usa
39,usa,usa
40,usa,usa
41,usa,usa
42,japan,japan
43,japan,japan
44,usa,usa
45,usa,usa
46,usa,usa
47,usa,usa
48,usa,usa
49,canada,usa
50,usa,usa
51,usa,usa
52,usa,usa
53,usa,usa
54,japan,usa
55,usa,usa
56,usa,usa
57,usa,usa
58,usa,usa
59,usa,usa
60,usa,usa
61,usa,usa
62,japan,japan
63,usa,usa
64,usa,usa
65,usa,usa
66,usa,usa
67,usa,usa
68,usa,usa
69,usa,usa
70,usa,usa
71,usa,usa
72,usa,usa
73,usa,usa
74,usa,usa
75,usa,usa
76,france,france
77,canada,uk
78,japan,japan
79,japan,japan
80,west-germany,west-germany
81,west-germany,uk
82,usa,usa
83,usa,usa
84,canada,usa
85,usa,usa
86,usa,usa
87,usa,usa
88,usa,usa
89,usa,usa
90,usa,usa
91,usa,usa
92,usa,usa
93,usa,usa
94,usa,usa
95,usa,usa
96,usa,usa
97,usa,usa
98,canada,canada
99,usa,usa
100,usa,usa
101,usa,usa
102,france,france
103,usa,usa
104,usa,usa
105,usa,usa
106,usa,usa
107,usa,usa
108,usa,usa
109,france,usa
110,usa,usa
111,usa,usa
112,usa,usa
113,usa,usa
114,usa,usa
115,usa,usa
116,france,usa
117,usa,usa
118,japan,japan
119,usa,usa
120,usa,usa
121,usa,usa
122,usa,usa
123,usa,usa
124,usa,usa
125,uk,uk
126,usa,usa
127,usa,usa
128,usa,usa
129,usa,usa
130,usa,usa
131,france,france
132,usa,usa
133,usa,usa
134,usa,usa
135,usa,usa
136,uk,uk
137,usa,usa
138,usa,usa
139,usa,usa
140,usa,usa
141,usa,usa
142,usa,usa
143,usa,usa
144,usa,usa
145,usa,usa
