Sample index,Actual category,Classification result
1,usa,usa
2,usa,usa
3,usa,usa
4,canada,usa
5,usa,usa
6,usa,usa
7,usa,usa
8,usa,usa
9,usa,usa
10,usa,usa
11,usa,usa
12,usa,usa
13,usa,usa
14,usa,usa
15,usa,usa
16,usa,usa
17,usa,usa
18,usa,usa
19,usa,usa
20,usa,usa
21,usa,usa
22,usa,usa
23,usa,usa
24,usa,usa
25,usa,usa
26,usa,usa
27,usa,usa
28,usa,usa
29,usa,usa
30,france,france
31,usa,usa
32,usa,usa
33,usa,usa
34,usa,usa
35,usa,usa
36,usa,usa
37,usa,usa
38,usa,usa
39,usa,usa
40,usa,usa
41,usa,usa
42,usa,usa
43,usa,usa
44,usa,usa
45,canada,usa
46,usa,usa
47,usa,usa
48,usa,usa
49,usa,usa
50,usa,usa
51,usa,usa
52,usa,usa
53,usa,usa
54,usa,usa
55,usa,usa
56,usa,usa
57,usa,usa
58,usa,usa
59,canada,usa
60,usa,usa
61,usa,usa
62,usa,usa
63,usa,usa
64,usa,usa
65,usa,usa
66,usa,usa
67,usa,usa
68,usa,usa
69,usa,usa
70,canada,usa
71,usa,usa
72,usa,usa
73,usa,usa
74,canada,usa
75,usa,usa
76,usa,usa
77,usa,usa
78,usa,usa
79,usa,usa
80,usa,usa
81,usa,usa
82,usa,usa
83,usa,usa
84,usa,usa
85,usa,usa
86,usa,canada
87,usa,usa
88,usa,usa
89,usa,usa
90,usa,usa
91,usa,usa
92,usa,usa
93,canada,usa
94,usa,usa
95,usa,usa
96,usa,usa
97,usa,usa
98,usa,usa
99,usa,usa
100,usa,usa
101,usa,usa
102,usa,uk
103,usa,usa
104,usa,usa
105,usa,usa
106,usa,usa
107,usa,canada
108,usa,usa
109,usa,usa
110,usa,usa
111,usa,usa
112,usa,usa
113,canada,usa
114,canada,usa
115,usa,usa
116,usa,usa
117,usa,usa
118,usa,usa
119,usa,usa
120,usa,usa
121,usa,usa
122,usa,usa
123,usa,usa
124,usa,usa
125,usa,usa
126,usa,usa
127,usa,canada
128,canada,usa
129,usa,usa
130,usa,usa
131,usa,usa
132,usa,usa
133,usa,usa
134,usa,usa
135,usa,usa
136,usa,usa
137,usa,usa
138,canada,canada
139,usa,usa
140,usa,usa
141,usa,usa
142,usa,usa
143,canada,usa
144,canada,usa
145,usa,usa
