Sample index,Actual category,Classification result
1,Byron,Byron
2,Shakespeare,Byron
3,Byron,Byron
4,Byron,Byron
5,Byron,Shakespeare
6,Shakespeare,Shakespeare
7,Shakespeare,Shakespeare
8,Shakespeare,Byron
9,Shakespeare,Shakespeare
10,Byron,Shakespeare
11,Shakespeare,Shakespeare
12,Byron,Byron
13,Byron,Shakespeare
14,Byron,Shakespeare
15,Byron,Shakespeare
16,Shakespeare,Shakespeare
17,Shakespeare,Shakespeare
18,Shakespeare,Shakespeare
19,Byron,Byron
20,Shakespeare,Byron
21,Shakespeare,Shakespeare
22,Byron,Shakespeare
23,Shakespeare,Shakespeare
24,Shakespeare,Shakespeare
25,Shakespeare,Shakespeare
26,Shakespeare,Shakespeare
27,Shakespeare,Shakespeare
28,Byron,Byron
29,Shakespeare,Shakespeare
30,Byron,Byron
31,Shakespeare,Shakespeare
32,Byron,Byron
33,Byron,Shakespeare
34,Byron,Shakespeare
35,Shakespeare,Shakespeare
36,Byron,Shakespeare
37,Byron,Shakespeare
38,Shakespeare,Shakespeare
39,Byron,Byron
40,Shakespeare,Shakespeare
41,Shakespeare,Byron
42,Byron,Byron
43,Byron,Byron
44,Byron,Shakespeare
45,Byron,Shakespeare
46,Byron,Byron
47,Shakespeare,Byron
48,Byron,Shakespeare
49,Byron,Shakespeare
50,Shakespeare,Shakespeare
51,Shakespeare,Shakespeare
52,Byron,Byron
53,Shakespeare,Shakespeare
54,Byron,Byron
55,Byron,Byron
56,Shakespeare,Shakespeare
57,Shakespeare,Shakespeare
58,Shakespeare,Shakespeare
59,Shakespeare,Shakespeare
60,Shakespeare,Shakespeare
61,Shakespeare,Shakespeare
62,Byron,Shakespeare
63,Shakespeare,Shakespeare
64,Shakespeare,Shakespeare
65,Shakespeare,Shakespeare
66,Byron,Byron
67,Shakespeare,Shakespeare
68,Shakespeare,Byron
69,Shakespeare,Shakespeare
70,Byron,Byron
71,Shakespeare,Shakespeare
72,Shakespeare,Shakespeare
73,Shakespeare,Byron
74,Byron,Shakespeare
75,Shakespeare,Shakespeare
76,Byron,Byron
77,Shakespeare,Byron
78,Shakespeare,Shakespeare
79,Byron,Shakespeare
80,Byron,Byron
81,Shakespeare,Shakespeare
82,Shakespeare,Shakespeare
83,Shakespeare,Shakespeare
84,Byron,Shakespeare
85,Shakespeare,Shakespeare
86,Byron,Shakespeare
87,Byron,Shakespeare
88,Byron,Shakespeare
89,Byron,Byron
90,Byron,Shakespeare
91,Shakespeare,Shakespeare
92,Byron,Byron
93,Shakespeare,Shakespeare
94,Shakespeare,Byron
95,Shakespeare,Byron
96,Shakespeare,Shakespeare
97,Shakespeare,Shakespeare
98,Byron,Byron
99,Shakespeare,Shakespeare
100,Shakespeare,Shakespeare
101,Shakespeare,Shakespeare
102,Byron,Byron
103,Shakespeare,Shakespeare
104,Shakespeare,Shakespeare
105,Shakespeare,Byron
106,Byron,Byron
107,Shakespeare,Shakespeare
108,Shakespeare,Shakespeare
109,Shakespeare,Shakespeare
110,Byron,Shakespeare
111,Shakespeare,Byron
112,Shakespeare,Shakespeare
113,Byron,Byron
114,Byron,Byron
115,Shakespeare,Shakespeare
116,Shakespeare,Shakespeare
117,Byron,Shakespeare
118,Shakespeare,Shakespeare
119,Shakespeare,Shakespeare
120,Shakespeare,Shakespeare
121,Byron,Shakespeare
122,Byron,Byron
123,Byron,Byron
124,Shakespeare,Shakespeare
125,Shakespeare,Shakespeare
126,Shakespeare,Shakespeare
127,Byron,Byron
128,Shakespeare,Shakespeare
129,Byron,Byron
130,Shakespeare,Shakespeare
131,Byron,Byron
132,Shakespeare,Shakespeare
133,Shakespeare,Shakespeare
134,Shakespeare,Shakespeare
135,Shakespeare,Byron
136,Byron,Byron
137,Shakespeare,Shakespeare
138,Shakespeare,Shakespeare
139,Shakespeare,Shakespeare
140,Shakespeare,Shakespeare
141,Shakespeare,Shakespeare
142,Shakespeare,Shakespeare
143,Byron,Shakespeare
144,Shakespeare,Shakespeare
145,Byron,Shakespeare
146,Shakespeare,Shakespeare
147,Shakespeare,Shakespeare
148,Shakespeare,Shakespeare
149,Byron,Byron
150,Byron,Byron
151,Shakespeare,Shakespeare
152,Shakespeare,Shakespeare
153,Shakespeare,Shakespeare
154,Byron,Shakespeare
155,Shakespeare,Byron
156,Shakespeare,Shakespeare
157,Byron,Byron
158,Byron,Shakespeare
159,Shakespeare,Shakespeare
160,Shakespeare,Shakespeare
161,Byron,Byron
162,Shakespeare,Shakespeare
163,Shakespeare,Shakespeare
164,Byron,Byron
165,Shakespeare,Shakespeare
166,Byron,Byron
167,Byron,Byron
168,Byron,Byron
169,Byron,Byron
170,Byron,Byron
171,Byron,Byron
172,Byron,Shakespeare
173,Byron,Shakespeare
174,Byron,Shakespeare
175,Shakespeare,Shakespeare
176,Shakespeare,Shakespeare
177,Byron,Shakespeare
178,Byron,Byron
179,Shakespeare,Shakespeare
180,Byron,Shakespeare
181,Byron,Shakespeare
182,Byron,Byron
183,Shakespeare,Shakespeare
184,Byron,Shakespeare
185,Shakespeare,Shakespeare
186,Byron,Byron
187,Byron,Byron
188,Shakespeare,Shakespeare
189,Shakespeare,Shakespeare
190,Byron,Byron
191,Byron,Byron
192,Shakespeare,Shakespeare
193,Byron,Shakespeare
194,Byron,Shakespeare
195,Byron,Byron
196,Shakespeare,Shakespeare
197,Byron,Shakespeare
198,Shakespeare,Shakespeare
199,Shakespeare,Shakespeare
200,Shakespeare,Shakespeare
201,Shakespeare,Shakespeare
202,Shakespeare,Shakespeare
203,Shakespeare,Shakespeare
204,Shakespeare,Shakespeare
205,Shakespeare,Shakespeare
206,Shakespeare,Shakespeare
207,Byron,Byron
208,Byron,Shakespeare
209,Byron,Byron
210,Byron,Byron
211,Byron,Byron
212,Byron,Shakespeare
213,Shakespeare,Shakespeare
214,Byron,Shakespeare
215,Shakespeare,Byron
216,Byron,Shakespeare
217,Byron,Shakespeare
218,Shakespeare,Shakespeare
219,Byron,Shakespeare
220,Byron,Byron
