Sample index,Actual category,Classification result
1,Byron,Shakespeare
2,Shakespeare,Byron
3,Byron,Shakespeare
4,Byron,Byron
5,Byron,Byron
6,Shakespeare,Shakespeare
7,Shakespeare,Shakespeare
8,Shakespeare,Shakespeare
9,Shakespeare,Shakespeare
10,Byron,Shakespeare
11,Shakespeare,Byron
12,Byron,Shakespeare
13,Byron,Shakespeare
14,Byron,Shakespeare
15,Byron,Shakespeare
16,Shakespeare,Shakespeare
17,Shakespeare,Byron
18,Shakespeare,Byron
19,Byron,Shakespeare
20,Shakespeare,Byron
21,Shakespeare,Byron
22,Byron,Shakespeare
23,Shakespeare,Byron
24,Shakespeare,Byron
25,Shakespeare,Shakespeare
26,Shakespeare,Shakespeare
27,Shakespeare,Shakespeare
28,Byron,Shakespeare
29,Shakespeare,Shakespeare
30,Byron,Shakespeare
31,Shakespeare,Byron
32,Byron,Shakespeare
33,Byron,Byron
34,Byron,Shakespeare
35,Shakespeare,Shakespeare
36,Byron,Byron
37,Byron,Shakespeare
38,Shakespeare,Shakespeare
39,Byron,Byron
40,Shakespeare,Shakespeare
41,Shakespeare,Byron
42,Byron,Byron
43,Byron,Byron
44,Byron,Shakespeare
45,Byron,Shakespeare
46,Byron,Shakespeare
47,Shakespeare,Byron
48,Byron,Shakespeare
49,Byron,Shakespeare
50,Shakespeare,Byron
51,Shakespeare,Shakespeare
52,Byron,Byron
53,Shakespeare,Byron
54,Byron,Shakespeare
55,Byron,Shakespeare
56,Shakespeare,Shakespeare
57,Shakespeare,Byron
58,Shakespeare,Shakespeare
59,Shakespeare,Shakespeare
60,Shakespeare,Shakespeare
61,Shakespeare,Shakespeare
62,Byron,Shakespeare
63,Shakespeare,Shakespeare
64,Shakespeare,Shakespeare
65,Shakespeare,Byron
66,Byron,Shakespeare
67,Shakespeare,Shakespeare
68,Shakespeare,Shakespeare
69,Shakespeare,Byron
70,Byron,Byron
71,Shakespeare,Byron
72,Shakespeare,Byron
73,Shakespeare,Shakespeare
74,Byron,Shakespeare
75,Shakespeare,Shakespeare
76,Byron,Shakespeare
77,Shakespeare,Shakespeare
78,Shakespeare,Shakespeare
79,Byron,Byron
80,Byron,Shakespeare
81,Shakespeare,Shakespeare
82,Shakespeare,Shakespeare
83,Shakespeare,Byron
84,Byron,Shakespeare
85,Shakespeare,Shakespeare
86,Byron,Shakespeare
87,Byron,Shakespeare
88,Byron,Byron
89,Byron,Shakespeare
90,Byron,Byron
91,Shakespeare,Shakespeare
92,Byron,Shakespeare
93,Shakespeare,Shakespeare
94,Shakespeare,Byron
95,Shakespeare,Shakespeare
96,Shakespeare,Shakespeare
97,Shakespeare,Shakespeare
98,Byron,Shakespeare
99,Shakespeare,Shakespeare
100,Shakespeare,Byron
101,Shakespeare,Shakespeare
102,Byron,Byron
103,Shakespeare,Shakespeare
104,Shakespeare,Byron
105,Shakespeare,Shakespeare
106,Byron,Byron
107,Shakespeare,Shakespeare
108,Shakespeare,Shakespeare
109,Shakespeare,Shakespeare
110,Byron,Shakespeare
111,Shakespeare,Shakespeare
112,Shakespeare,Shakespeare
113,Byron,Shakespeare
114,Byron,Shakespeare
115,Shakespeare,Shakespeare
116,Shakespeare,Shakespeare
117,Byron,Byron
118,Shakespeare,Shakespeare
119,Shakespeare,Byron
120,Shakespeare,Shakespeare
121,Byron,Byron
122,Byron,Byron
123,Byron,Shakespeare
124,Shakespeare,Shakespeare
125,Shakespeare,Shakespeare
126,Shakespeare,Byron
127,Byron,Byron
128,Shakespeare,Shakespeare
129,Byron,Shakespeare
130,Shakespeare,Shakespeare
131,Byron,Shakespeare
132,Shakespeare,Shakespeare
133,Shakespeare,Shakespeare
134,Shakespeare,Shakespeare
135,Shakespeare,Shakespeare
136,Byron,Byron
137,Shakespeare,Shakespeare
138,Shakespeare,Shakespeare
139,Shakespeare,Shakespeare
140,Shakespeare,Shakespeare
141,Shakespeare,Shakespeare
142,Shakespeare,Shakespeare
143,Byron,Shakespeare
144,Shakespeare,Shakespeare
145,Byron,Byron
146,Shakespeare,Shakespeare
147,Shakespeare,Shakespeare
148,Shakespeare,Shakespeare
149,Byron,Shakespeare
150,Byron,Byron
