Sample index,Actual category,Classification result
1,Byron,Shakespeare
2,Shakespeare,Shakespeare
3,Byron,Byron
4,Byron,Byron
5,Byron,Byron
6,Shakespeare,Shakespeare
7,Shakespeare,Shakespeare
8,Shakespeare,Byron
9,Shakespeare,Shakespeare
10,Byron,Shakespeare
11,Shakespeare,Shakespeare
12,Byron,Byron
13,Byron,Shakespeare
14,Byron,Byron
15,Byron,Shakespeare
16,Shakespeare,Shakespeare
17,Shakespeare,Byron
18,Shakespeare,Shakespeare
19,Byron,Shakespeare
20,Shakespeare,Shakespeare
21,Shakespeare,Shakespeare
22,Byron,Byron
23,Shakespeare,Byron
24,Shakespeare,Byron
25,Shakespeare,Shakespeare
26,Shakespeare,Shakespeare
27,Shakespeare,Byron
28,Byron,Byron
29,Shakespeare,Byron
30,Byron,Byron
31,Shakespeare,Shakespeare
32,Byron,Byron
33,Byron,Shakespeare
34,Byron,Byron
35,Shakespeare,Byron
36,Byron,Shakespeare
37,Byron,Byron
38,Shakespeare,Shakespeare
39,Byron,Shakespeare
40,Shakespeare,Byron
41,Shakespeare,Byron
42,Byron,Byron
43,Byron,Byron
44,Byron,Shakespeare
45,Byron,Byron
46,Byron,Byron
47,Shakespeare,Byron
48,Byron,Byron
49,Byron,Shakespeare
50,Shakespeare,Shakespeare
51,Shakespeare,Shakespeare
52,Byron,Shakespeare
53,Shakespeare,Shakespeare
54,Byron,Byron
55,Byron,Byron
56,Shakespeare,Byron
57,Shakespeare,Byron
58,Shakespeare,Byron
59,Shakespeare,Shakespeare
60,Shakespeare,Shakespeare
61,Shakespeare,Shakespeare
62,Byron,Shakespeare
63,Shakespeare,Shakespeare
64,Shakespeare,Byron
65,Shakespeare,Shakespeare
66,Byron,Byron
67,Shakespeare,Byron
68,Shakespeare,Byron
69,Shakespeare,Shakespeare
70,Byron,Byron
71,Shakespeare,Shakespeare
72,Shakespeare,Shakespeare
73,Shakespeare,Byron
74,Byron,Byron
75,Shakespeare,Shakespeare
76,Byron,Byron
77,Shakespeare,Byron
78,Shakespeare,Shakespeare
79,Byron,Byron
80,Byron,Byron
81,Shakespeare,Shakespeare
82,Shakespeare,Shakespeare
83,Shakespeare,Byron
84,Byron,Shakespeare
85,Shakespeare,Byron
86,Byron,Shakespeare
87,Byron,Shakespeare
88,Byron,Shakespeare
89,Byron,Byron
90,Byron,Byron
91,Shakespeare,Byron
92,Byron,Byron
93,Shakespeare,Shakespeare
94,Shakespeare,Shakespeare
95,Shakespeare,Shakespeare
96,Shakespeare,Shakespeare
97,Shakespeare,Shakespeare
98,Byron,Shakespeare
99,Shakespeare,Shakespeare
100,Shakespeare,Shakespeare
101,Shakespeare,Shakespeare
102,Byron,Byron
103,Shakespeare,Shakespeare
104,Shakespeare,Byron
105,Shakespeare,Shakespeare
106,Byron,Byron
107,Shakespeare,Shakespeare
108,Shakespeare,Shakespeare
109,Shakespeare,Shakespeare
110,Byron,Shakespeare
111,Shakespeare,Shakespeare
112,Shakespeare,Byron
113,Byron,Byron
114,Byron,Shakespeare
115,Shakespeare,Shakespeare
116,Shakespeare,Shakespeare
117,Byron,Byron
118,Shakespeare,Shakespeare
119,Shakespeare,Byron
120,Shakespeare,Shakespeare
121,Byron,Byron
122,Byron,Byron
123,Byron,Byron
124,Shakespeare,Shakespeare
125,Shakespeare,Shakespeare
126,Shakespeare,Shakespeare
127,Byron,Byron
128,Shakespeare,Shakespeare
129,Byron,Shakespeare
130,Shakespeare,Byron
131,Byron,Shakespeare
132,Shakespeare,Byron
133,Shakespeare,Shakespeare
134,Shakespeare,Shakespeare
135,Shakespeare,Shakespeare
136,Byron,Byron
137,Shakespeare,Shakespeare
138,Shakespeare,Shakespeare
139,Shakespeare,Shakespeare
140,Shakespeare,Shakespeare
141,Shakespeare,Shakespeare
142,Shakespeare,Byron
143,Byron,Byron
144,Shakespeare,Shakespeare
145,Byron,Byron
146,Shakespeare,Byron
147,Shakespeare,Byron
148,Shakespeare,Byron
149,Byron,Byron
150,Byron,Shakespeare
151,Shakespeare,Shakespeare
152,Shakespeare,Shakespeare
153,Shakespeare,Shakespeare
154,Byron,Byron
155,Shakespeare,Shakespeare
156,Shakespeare,Byron
157,Byron,Shakespeare
158,Byron,Shakespeare
159,Shakespeare,Byron
160,Shakespeare,Byron
161,Byron,Shakespeare
162,Shakespeare,Byron
163,Shakespeare,Shakespeare
164,Byron,Shakespeare
165,Shakespeare,Byron
166,Byron,Shakespeare
167,Byron,Byron
168,Byron,Byron
169,Byron,Byron
170,Byron,Byron
171,Byron,Byron
172,Byron,Shakespeare
173,Byron,Byron
174,Byron,Byron
175,Shakespeare,Shakespeare
176,Shakespeare,Shakespeare
177,Byron,Byron
178,Byron,Byron
179,Shakespeare,Shakespeare
180,Byron,Byron
181,Byron,Byron
182,Byron,Byron
183,Shakespeare,Shakespeare
184,Byron,Shakespeare
185,Shakespeare,Shakespeare
186,Byron,Byron
187,Byron,Byron
188,Shakespeare,Byron
189,Shakespeare,Shakespeare
190,Byron,Byron
191,Byron,Shakespeare
192,Shakespeare,Shakespeare
193,Byron,Byron
194,Byron,Byron
195,Byron,Shakespeare
196,Shakespeare,Byron
197,Byron,Shakespeare
198,Shakespeare,Shakespeare
199,Shakespeare,Shakespeare
200,Shakespeare,Shakespeare
201,Shakespeare,Byron
202,Shakespeare,Shakespeare
203,Shakespeare,Shakespeare
204,Shakespeare,Shakespeare
205,Shakespeare,Byron
206,Shakespeare,Shakespeare
207,Byron,Byron
208,Byron,Shakespeare
209,Byron,Shakespeare
210,Byron,Byron
211,Byron,Byron
212,Byron,Shakespeare
213,Shakespeare,Shakespeare
214,Byron,Byron
215,Shakespeare,Shakespeare
216,Byron,Shakespeare
217,Byron,Byron
218,Shakespeare,Byron
219,Byron,Shakespeare
220,Byron,Shakespeare
221,Shakespeare,Byron
222,Byron,Byron
223,Byron,Shakespeare
224,Byron,Byron
225,Byron,Byron
226,Shakespeare,Shakespeare
227,Byron,Byron
228,Byron,Byron
