Sample index,Actual category,Classification result
1,Byron,Byron
2,Shakespeare,Byron
3,Byron,Byron
4,Byron,Byron
5,Byron,Byron
6,Shakespeare,Shakespeare
7,Shakespeare,Byron
8,Shakespeare,Byron
9,Shakespeare,Shakespeare
10,Byron,Byron
11,Shakespeare,Shakespeare
12,Byron,Byron
13,Byron,Byron
14,Byron,Byron
15,Byron,Shakespeare
16,Shakespeare,Shakespeare
17,Shakespeare,Shakespeare
18,Shakespeare,Byron
19,Byron,Byron
20,Shakespeare,Byron
21,Shakespeare,Byron
22,Byron,Byron
23,Shakespeare,Shakespeare
24,Shakespeare,Byron
25,Shakespeare,Shakespeare
26,Shakespeare,Byron
27,Shakespeare,Byron
28,Byron,Byron
29,Shakespeare,Shakespeare
30,Byron,Byron
31,Shakespeare,Shakespeare
32,Byron,Byron
33,Byron,Byron
34,Byron,Byron
35,Shakespeare,Shakespeare
36,Byron,Byron
37,Byron,Byron
38,Shakespeare,Byron
39,Byron,Byron
40,Shakespeare,Shakespeare
41,Shakespeare,Byron
42,Byron,Byron
43,Byron,Byron
44,Byron,Byron
45,Byron,Byron
46,Byron,Byron
47,Shakespeare,Byron
48,Byron,Byron
49,Byron,Shakespeare
50,Shakespeare,Shakespeare
51,Shakespeare,Shakespeare
52,Byron,Byron
53,Shakespeare,Byron
54,Byron,Byron
55,Byron,Byron
56,Shakespeare,Byron
57,Shakespeare,Byron
58,Shakespeare,Byron
59,Shakespeare,Byron
60,Shakespeare,Byron
61,Shakespeare,Shakespeare
62,Byron,Shakespeare
63,Shakespeare,Shakespeare
64,Shakespeare,Shakespeare
65,Shakespeare,Byron
66,Byron,Byron
67,Shakespeare,Shakespeare
68,Shakespeare,Byron
69,Shakespeare,Byron
70,Byron,Byron
71,Shakespeare,Byron
72,Shakespeare,Byron
73,Shakespeare,Byron
74,Byron,Byron
75,Shakespeare,Byron
76,Byron,Byron
77,Shakespeare,Byron
78,Shakespeare,Shakespeare
79,Byron,Byron
80,Byron,Byron
81,Shakespeare,Byron
82,Shakespeare,Shakespeare
83,Shakespeare,Byron
84,Byron,Byron
85,Shakespeare,Byron
86,Byron,Byron
87,Byron,Shakespeare
88,Byron,Byron
89,Byron,Byron
90,Byron,Byron
91,Shakespeare,Byron
92,Byron,Shakespeare
93,Shakespeare,Byron
94,Shakespeare,Byron
95,Shakespeare,Byron
96,Shakespeare,Shakespeare
97,Shakespeare,Byron
98,Byron,Byron
99,Shakespeare,Shakespeare
100,Shakespeare,Byron
101,Shakespeare,Byron
102,Byron,Byron
103,Shakespeare,Byron
104,Shakespeare,Byron
105,Shakespeare,Byron
106,Byron,Byron
107,Shakespeare,Shakespeare
108,Shakespeare,Shakespeare
109,Shakespeare,Byron
110,Byron,Byron
111,Shakespeare,Byron
112,Shakespeare,Byron
113,Byron,Byron
114,Byron,Byron
115,Shakespeare,Byron
116,Shakespeare,Byron
117,Byron,Byron
118,Shakespeare,Byron
119,Shakespeare,Byron
120,Shakespeare,Byron
121,Byron,Byron
122,Byron,Byron
123,Byron,Byron
124,Shakespeare,Shakespeare
125,Shakespeare,Byron
126,Shakespeare,Byron
127,Byron,Byron
128,Shakespeare,Shakespeare
129,Byron,Byron
130,Shakespeare,Byron
131,Byron,Byron
132,Shakespeare,Byron
133,Shakespeare,Byron
134,Shakespeare,Byron
135,Shakespeare,Byron
136,Byron,Byron
137,Shakespeare,Byron
138,Shakespeare,Byron
139,Shakespeare,Byron
140,Shakespeare,Byron
141,Shakespeare,Byron
142,Shakespeare,Byron
143,Byron,Byron
144,Shakespeare,Byron
145,Byron,Byron
146,Shakespeare,Byron
147,Shakespeare,Byron
148,Shakespeare,Byron
149,Byron,Byron
150,Byron,Byron
151,Shakespeare,Byron
152,Shakespeare,Byron
153,Shakespeare,Shakespeare
154,Byron,Byron
155,Shakespeare,Shakespeare
156,Shakespeare,Byron
157,Byron,Byron
158,Byron,Byron
159,Shakespeare,Byron
160,Shakespeare,Byron
161,Byron,Byron
162,Shakespeare,Byron
163,Shakespeare,Shakespeare
164,Byron,Byron
165,Shakespeare,Byron
166,Byron,Byron
167,Byron,Byron
168,Byron,Byron
169,Byron,Byron
170,Byron,Byron
171,Byron,Byron
172,Byron,Byron
173,Byron,Byron
174,Byron,Byron
175,Shakespeare,Shakespeare
176,Shakespeare,Shakespeare
177,Byron,Shakespeare
178,Byron,Byron
179,Shakespeare,Shakespeare
180,Byron,Byron
181,Byron,Shakespeare
182,Byron,Byron
183,Shakespeare,Shakespeare
184,Byron,Byron
185,Shakespeare,Byron
186,Byron,Byron
187,Byron,Byron
188,Shakespeare,Shakespeare
189,Shakespeare,Byron
190,Byron,Byron
191,Byron,Byron
192,Shakespeare,Byron
193,Byron,Byron
194,Byron,Byron
195,Byron,Byron
196,Shakespeare,Byron
197,Byron,Byron
198,Shakespeare,Byron
199,Shakespeare,Shakespeare
200,Shakespeare,Shakespeare
201,Shakespeare,Byron
202,Shakespeare,Shakespeare
203,Shakespeare,Byron
204,Shakespeare,Byron
205,Shakespeare,Byron
206,Shakespeare,Shakespeare
207,Byron,Byron
208,Byron,Byron
209,Byron,Byron
210,Byron,Byron
211,Byron,Byron
212,Byron,Byron
213,Shakespeare,Byron
214,Byron,Byron
215,Shakespeare,Byron
216,Byron,Byron
217,Byron,Byron
218,Shakespeare,Byron
219,Byron,Byron
220,Byron,Byron
221,Shakespeare,Byron
222,Byron,Byron
223,Byron,Byron
224,Byron,Byron
225,Byron,Byron
226,Shakespeare,Shakespeare
227,Byron,Byron
228,Byron,Byron
