Sample index,Actual category,Classification result
1,grain,grain
2,interest,interest
3,grain,grain
4,interest,interest
5,interest,interest
6,grain,grain
7,grain,grain
8,interest,interest
9,grain,grain
10,grain,grain
11,interest,interest
12,interest,interest
13,grain,grain
14,grain,grain
15,grain,grain
16,interest,interest
17,interest,interest
18,grain,grain
19,grain,grain
20,interest,interest
21,grain,grain
22,grain,grain
23,grain,grain
24,grain,grain
25,grain,grain
26,interest,interest
27,grain,grain
28,grain,grain
29,grain,grain
30,interest,interest
31,interest,interest
32,grain,grain
33,interest,interest
34,interest,interest
35,interest,interest
36,interest,interest
37,grain,grain
38,grain,grain
39,interest,interest
40,interest,interest
41,grain,grain
42,grain,grain
43,interest,interest
44,interest,interest
45,interest,interest
46,interest,interest
47,interest,interest
48,interest,interest
49,grain,grain
50,interest,interest
51,grain,grain
52,interest,interest
53,grain,grain
54,interest,interest
55,grain,grain
56,grain,grain
57,grain,grain
58,grain,grain
59,interest,interest
60,interest,interest
61,interest,interest
62,grain,grain
63,grain,grain
64,interest,interest
65,interest,interest
66,grain,interest
67,interest,interest
68,interest,interest
69,grain,grain
70,grain,grain
71,grain,grain
72,grain,grain
73,grain,grain
74,grain,grain
75,interest,interest
76,interest,interest
77,grain,grain
78,interest,interest
79,grain,grain
80,grain,interest
81,interest,interest
82,grain,grain
83,grain,grain
84,grain,grain
85,interest,interest
86,grain,grain
87,interest,interest
88,interest,interest
89,interest,interest
90,grain,grain
91,grain,interest
92,interest,interest
93,grain,grain
94,interest,interest
95,interest,interest
96,interest,interest
97,grain,grain
98,grain,grain
99,grain,grain
100,interest,interest
101,interest,interest
102,interest,interest
103,grain,grain
104,grain,grain
105,interest,interest
106,interest,interest
107,grain,grain
108,grain,grain
109,interest,interest
110,interest,interest
111,grain,grain
112,grain,grain
113,grain,grain
114,grain,grain
115,interest,interest
116,grain,grain
117,grain,grain
118,interest,interest
119,grain,grain
120,interest,interest
121,interest,interest
122,interest,interest
123,grain,grain
124,grain,grain
125,interest,interest
126,grain,grain
127,grain,grain
128,interest,interest
129,interest,interest
130,grain,grain
131,grain,grain
132,grain,grain
133,interest,interest
134,interest,interest
135,grain,grain
136,interest,interest
137,grain,grain
138,interest,interest
139,interest,interest
140,grain,interest
141,interest,interest
142,interest,interest
143,grain,interest
144,grain,grain
145,grain,grain
146,grain,grain
147,interest,interest
148,grain,grain
149,grain,grain
150,grain,grain
151,interest,interest
152,interest,interest
153,interest,interest
154,grain,grain
155,interest,interest
156,interest,interest
157,grain,grain
158,grain,grain
159,grain,grain
160,grain,grain
161,interest,interest
162,grain,interest
163,interest,interest
164,interest,interest
165,grain,grain
166,grain,grain
167,interest,interest
168,interest,interest
169,interest,interest
170,interest,interest
171,grain,grain
172,interest,interest
173,interest,interest
174,grain,grain
175,grain,grain
176,interest,interest
177,interest,interest
178,interest,interest
179,grain,grain
180,interest,interest
181,grain,grain
182,grain,grain
183,interest,interest
184,interest,interest
185,grain,grain
186,grain,grain
187,interest,interest
188,interest,interest
189,grain,grain
190,grain,grain
191,grain,grain
192,interest,interest
193,grain,grain
194,interest,interest
195,grain,grain
196,interest,interest
197,grain,grain
198,grain,grain
199,interest,interest
200,interest,interest
201,grain,grain
202,grain,grain
203,interest,interest
204,grain,grain
205,grain,interest
206,interest,interest
207,grain,grain
208,grain,grain
209,interest,interest
210,interest,interest
211,interest,interest
212,interest,interest
213,grain,grain
214,grain,grain
215,grain,interest
216,grain,grain
217,grain,grain
218,grain,grain
219,grain,grain
220,grain,grain
221,interest,interest
222,grain,grain
223,interest,interest
224,grain,grain
225,interest,interest
226,grain,grain
227,grain,interest
228,interest,interest
229,interest,interest
230,grain,grain
231,grain,grain
232,grain,grain
233,interest,interest
234,grain,grain
235,interest,interest
236,grain,grain
237,grain,grain
238,grain,grain
239,grain,grain
240,grain,interest
241,grain,grain
242,grain,grain
243,interest,interest
244,interest,interest
245,interest,interest
246,interest,interest
247,grain,grain
248,interest,interest
249,grain,grain
