Sample index,Actual category,Classification result
1,grain,interest
2,grain,grain
3,grain,grain
4,grain,interest
5,grain,grain
6,grain,grain
7,grain,grain
8,grain,grain
9,grain,interest
10,interest,interest
11,grain,grain
12,interest,interest
13,grain,grain
14,interest,interest
15,interest,interest
16,interest,interest
17,grain,grain
18,interest,interest
19,grain,grain
20,grain,grain
21,grain,grain
22,grain,interest
23,grain,grain
24,interest,interest
25,grain,interest
26,interest,interest
27,grain,grain
28,grain,grain
29,interest,interest
30,grain,interest
31,grain,grain
32,grain,grain
33,grain,grain
34,grain,grain
35,grain,grain
36,grain,grain
37,grain,grain
38,interest,interest
39,grain,grain
40,interest,interest
41,grain,grain
42,interest,interest
43,grain,grain
44,grain,grain
45,grain,grain
46,interest,interest
47,interest,interest
48,grain,grain
49,interest,interest
50,grain,grain
51,grain,grain
52,interest,interest
53,interest,interest
54,interest,interest
55,grain,grain
56,grain,grain
57,grain,grain
58,interest,interest
59,interest,interest
60,interest,interest
61,grain,grain
62,grain,grain
63,interest,interest
64,grain,grain
65,grain,grain
66,grain,grain
67,interest,interest
68,interest,interest
69,grain,grain
70,interest,interest
71,interest,interest
72,grain,grain
73,grain,grain
74,interest,interest
75,interest,interest
76,interest,interest
77,grain,grain
78,interest,interest
79,grain,interest
80,grain,grain
81,grain,grain
82,interest,interest
83,interest,interest
84,grain,grain
85,grain,grain
86,grain,grain
87,grain,grain
88,interest,interest
89,grain,grain
90,grain,grain
91,grain,grain
92,interest,interest
93,grain,grain
94,grain,grain
95,grain,interest
96,grain,grain
97,grain,interest
98,interest,interest
99,interest,interest
100,grain,interest
101,grain,grain
102,interest,interest
103,grain,grain
104,grain,grain
105,grain,grain
106,grain,grain
107,interest,interest
108,grain,grain
109,grain,interest
110,grain,interest
111,grain,interest
112,interest,interest
113,grain,grain
114,grain,grain
115,interest,interest
116,grain,grain
117,interest,interest
118,grain,interest
119,interest,interest
120,interest,interest
121,grain,grain
122,grain,grain
123,grain,grain
124,interest,interest
125,grain,grain
126,interest,interest
127,grain,grain
128,grain,grain
129,grain,grain
130,grain,interest
131,interest,interest
132,grain,grain
133,interest,interest
134,grain,grain
135,interest,interest
136,grain,grain
137,grain,grain
138,interest,interest
139,interest,interest
140,interest,interest
141,grain,grain
142,interest,interest
143,grain,grain
144,grain,grain
145,interest,interest
146,interest,interest
147,grain,interest
148,grain,grain
149,grain,interest
150,interest,interest
151,grain,interest
152,grain,grain
153,grain,grain
154,grain,grain
155,grain,grain
156,grain,interest
157,interest,interest
158,interest,interest
159,grain,grain
160,interest,interest
161,grain,grain
162,interest,interest
163,grain,grain
164,interest,interest
165,interest,interest
166,grain,grain
167,grain,grain
168,grain,grain
169,interest,interest
170,interest,interest
171,grain,grain
172,interest,interest
173,grain,grain
174,interest,interest
175,grain,grain
176,grain,interest
177,interest,interest
178,grain,grain
179,grain,grain
180,interest,interest
181,grain,grain
182,grain,interest
183,grain,interest
184,grain,grain
185,interest,interest
186,interest,interest
187,interest,interest
188,interest,interest
189,grain,grain
190,grain,grain
191,grain,grain
192,interest,interest
193,grain,grain
194,interest,interest
195,grain,grain
196,grain,grain
197,grain,grain
198,interest,interest
199,interest,interest
200,interest,interest
201,interest,interest
202,interest,interest
203,interest,interest
204,grain,grain
205,grain,grain
