Sample index,Actual category,Classification result
1,interest,interest
2,grain,grain
3,interest,interest
4,interest,interest
5,grain,grain
6,interest,interest
7,grain,grain
8,grain,grain
9,grain,grain
10,grain,grain
11,interest,interest
12,grain,grain
13,interest,interest
14,grain,grain
15,grain,grain
16,interest,interest
17,grain,grain
18,grain,grain
19,interest,interest
20,grain,grain
21,grain,grain
22,grain,grain
23,grain,grain
24,grain,grain
25,grain,grain
26,grain,grain
27,interest,interest
28,grain,interest
29,grain,grain
30,grain,grain
31,grain,grain
32,grain,grain
33,interest,interest
34,interest,interest
35,interest,interest
36,interest,interest
37,interest,interest
38,grain,grain
39,interest,interest
40,grain,grain
41,grain,interest
42,grain,grain
43,grain,interest
44,interest,interest
45,interest,interest
46,grain,grain
47,grain,grain
48,interest,interest
49,interest,interest
50,interest,interest
51,interest,interest
52,interest,interest
53,interest,interest
54,interest,interest
55,grain,grain
56,interest,interest
57,interest,interest
58,interest,interest
59,grain,grain
60,grain,grain
61,interest,interest
62,interest,interest
63,grain,grain
64,interest,interest
65,grain,grain
66,interest,interest
67,interest,interest
68,interest,interest
69,interest,interest
70,grain,grain
71,grain,grain
72,interest,interest
73,grain,grain
74,grain,grain
75,interest,interest
76,grain,grain
77,grain,grain
78,interest,interest
79,grain,grain
80,grain,grain
81,grain,grain
82,interest,interest
83,interest,interest
84,grain,grain
85,grain,grain
86,grain,grain
87,grain,grain
88,grain,grain
89,grain,grain
90,grain,grain
91,grain,grain
92,grain,grain
93,grain,grain
94,grain,grain
95,grain,grain
96,grain,grain
97,grain,grain
98,grain,grain
99,grain,grain
100,grain,grain
101,grain,grain
102,grain,grain
103,grain,grain
104,grain,grain
105,grain,grain
106,interest,interest
107,grain,grain
108,grain,grain
109,interest,interest
110,grain,grain
111,grain,grain
112,interest,interest
113,interest,interest
114,interest,interest
115,grain,interest
116,interest,interest
117,grain,grain
118,grain,grain
119,grain,grain
120,grain,grain
121,grain,grain
122,grain,grain
123,grain,grain
124,interest,interest
125,grain,grain
126,interest,interest
127,interest,interest
128,grain,grain
129,interest,interest
130,interest,interest
131,interest,interest
132,interest,interest
133,grain,grain
134,interest,interest
135,grain,grain
136,grain,interest
137,interest,interest
138,interest,interest
139,interest,interest
140,interest,interest
141,interest,interest
142,interest,interest
143,grain,grain
144,grain,grain
145,grain,grain
146,grain,interest
147,grain,grain
148,grain,grain
149,interest,interest
150,grain,grain
151,grain,grain
152,grain,grain
153,grain,interest
154,grain,grain
155,grain,grain
156,grain,grain
157,interest,interest
158,interest,interest
159,grain,grain
160,grain,grain
161,grain,interest
162,grain,grain
163,grain,grain
164,grain,grain
165,interest,interest
166,grain,grain
167,interest,interest
168,grain,grain
169,grain,grain
170,interest,interest
171,grain,grain
172,interest,interest
173,interest,interest
174,grain,grain
175,interest,interest
176,interest,interest
177,interest,interest
178,interest,interest
179,interest,interest
180,interest,interest
181,interest,interest
182,interest,interest
183,grain,grain
184,interest,interest
185,grain,grain
186,grain,grain
187,interest,interest
188,grain,grain
189,grain,grain
190,interest,interest
191,grain,grain
192,grain,grain
193,grain,grain
194,interest,interest
195,interest,interest
196,grain,grain
197,grain,grain
198,interest,interest
199,grain,grain
200,interest,interest
201,interest,interest
202,interest,interest
203,grain,grain
204,grain,grain
205,grain,grain
206,grain,grain
207,interest,interest
208,grain,grain
209,grain,grain
210,grain,grain
211,grain,grain
212,grain,grain
213,interest,interest
214,interest,interest
215,grain,interest
216,grain,grain
217,interest,interest
218,interest,interest
219,grain,interest
220,grain,grain
221,grain,grain
222,grain,grain
223,grain,grain
224,grain,grain
225,grain,grain
226,interest,interest
227,interest,interest
228,grain,grain
229,grain,grain
230,grain,grain
231,grain,interest
232,interest,interest
233,grain,grain
234,interest,interest
235,interest,interest
236,interest,interest
237,interest,interest
238,grain,grain
239,interest,interest
240,grain,grain
241,interest,interest
242,grain,grain
243,grain,grain
244,interest,interest
245,grain,grain
246,grain,grain
247,interest,interest
248,grain,grain
249,interest,interest
250,interest,interest
251,grain,grain
252,grain,grain
253,interest,interest
254,interest,interest
255,grain,grain
256,grain,grain
257,grain,grain
258,grain,grain
259,interest,interest
260,grain,grain
261,grain,grain
262,interest,interest
263,grain,grain
264,interest,interest
265,interest,interest
266,interest,interest
267,grain,grain
268,interest,interest
269,grain,grain
270,interest,interest
271,interest,interest
272,interest,interest
273,grain,grain
274,grain,grain
275,grain,grain
276,grain,grain
277,interest,interest
278,interest,interest
279,interest,interest
280,grain,grain
281,interest,interest
282,interest,interest
283,grain,grain
284,grain,grain
285,grain,grain
286,interest,interest
287,interest,interest
288,interest,interest
289,grain,grain
290,interest,interest
291,grain,grain
292,interest,interest
293,grain,interest
294,interest,interest
295,interest,interest
296,interest,interest
297,grain,grain
298,grain,grain
299,grain,grain
300,grain,interest
301,grain,grain
302,grain,grain
303,interest,interest
304,grain,grain
305,grain,grain
306,grain,grain
307,grain,grain
308,grain,grain
309,grain,grain
310,grain,grain
311,grain,grain
312,interest,interest
313,interest,interest
314,interest,interest
315,grain,grain
316,grain,grain
317,interest,interest
318,grain,grain
319,interest,interest
320,grain,grain
321,grain,grain
322,grain,grain
323,grain,grain
324,interest,interest
325,interest,interest
326,grain,grain
327,grain,grain
328,grain,interest
329,interest,interest
330,interest,interest
