Sample index,Actual category,Classification result
1,grain,grain
2,interest,interest
3,interest,interest
4,interest,interest
5,interest,interest
6,grain,grain
7,grain,grain
8,interest,interest
9,interest,interest
10,grain,grain
11,interest,interest
12,interest,interest
13,grain,grain
14,interest,interest
15,grain,grain
16,interest,interest
17,grain,grain
18,grain,interest
19,grain,grain
20,grain,grain
21,grain,grain
22,interest,interest
23,grain,grain
24,interest,interest
25,grain,interest
26,grain,interest
27,interest,interest
28,grain,grain
29,grain,grain
30,interest,interest
31,interest,interest
32,interest,interest
33,grain,interest
34,interest,interest
35,grain,grain
36,interest,interest
37,interest,interest
38,grain,grain
39,interest,interest
40,interest,interest
41,interest,interest
42,grain,grain
43,grain,grain
44,interest,interest
45,grain,grain
46,interest,interest
47,grain,grain
48,grain,interest
49,interest,interest
50,grain,interest
51,interest,interest
52,interest,interest
53,interest,interest
54,interest,interest
55,interest,interest
56,interest,interest
57,grain,grain
58,interest,interest
59,interest,interest
60,interest,interest
61,grain,grain
62,interest,interest
63,grain,interest
64,grain,interest
65,interest,interest
66,grain,grain
67,grain,interest
68,grain,grain
69,grain,grain
70,grain,grain
71,grain,grain
72,grain,grain
73,grain,interest
74,grain,grain
75,interest,interest
76,grain,grain
77,grain,grain
78,grain,grain
79,interest,interest
80,interest,interest
81,grain,grain
82,grain,interest
83,grain,interest
84,interest,interest
85,interest,interest
86,interest,interest
87,grain,grain
88,grain,grain
89,interest,interest
90,grain,grain
91,interest,interest
92,interest,interest
93,interest,interest
94,grain,grain
95,grain,interest
96,interest,interest
97,grain,grain
98,grain,grain
99,interest,interest
100,interest,interest
101,interest,interest
102,interest,interest
103,grain,grain
104,grain,grain
105,grain,grain
106,grain,interest
107,grain,grain
108,interest,interest
109,grain,grain
110,grain,grain
111,grain,grain
112,grain,grain
113,grain,grain
114,interest,interest
115,grain,interest
116,interest,interest
117,grain,grain
118,interest,interest
119,interest,interest
120,interest,interest
121,interest,interest
122,interest,interest
123,grain,interest
124,grain,interest
125,grain,interest
126,interest,interest
127,interest,interest
128,interest,interest
129,grain,grain
130,interest,interest
131,grain,grain
132,grain,grain
133,grain,grain
134,interest,interest
135,grain,interest
136,grain,interest
137,grain,grain
138,interest,interest
139,grain,interest
140,interest,interest
141,interest,interest
142,grain,grain
143,interest,interest
144,grain,grain
145,grain,grain
146,grain,grain
147,interest,interest
148,interest,interest
149,interest,interest
150,interest,interest
151,grain,interest
152,interest,interest
153,grain,grain
154,interest,interest
155,grain,grain
156,interest,interest
157,grain,grain
158,interest,interest
159,grain,interest
160,grain,grain
161,grain,grain
162,interest,interest
163,interest,interest
164,interest,interest
165,grain,grain
166,interest,interest
167,grain,grain
168,grain,grain
169,grain,grain
170,interest,interest
171,interest,interest
172,grain,grain
173,interest,interest
174,interest,interest
175,grain,interest
176,interest,interest
177,grain,grain
178,grain,grain
179,interest,interest
180,grain,grain
181,grain,interest
182,interest,interest
183,grain,grain
184,grain,grain
185,grain,grain
186,interest,interest
187,interest,interest
188,grain,grain
189,grain,grain
190,grain,grain
191,interest,interest
192,interest,interest
193,grain,interest
194,interest,interest
195,interest,interest
196,grain,grain
197,interest,interest
198,interest,interest
199,grain,grain
200,grain,grain
