Sample index,Actual category,Classification result
1,interest,interest
2,grain,grain
3,interest,interest
4,interest,interest
5,interest,interest
6,interest,interest
7,interest,interest
8,grain,grain
9,interest,interest
10,interest,grain
11,interest,interest
12,grain,grain
13,interest,interest
14,interest,interest
15,grain,grain
16,grain,grain
17,interest,interest
18,grain,grain
19,interest,interest
20,interest,interest
21,grain,grain
22,interest,interest
23,interest,grain
24,interest,interest
25,interest,interest
26,interest,interest
27,grain,grain
28,interest,interest
29,grain,grain
30,grain,grain
31,grain,grain
32,grain,grain
33,grain,grain
34,grain,grain
35,interest,interest
36,interest,interest
37,interest,interest
38,interest,interest
39,grain,grain
40,grain,grain
41,interest,interest
42,interest,interest
43,grain,grain
44,interest,interest
45,interest,interest
46,interest,interest
47,grain,interest
48,interest,interest
49,interest,interest
50,grain,grain
51,grain,grain
52,interest,interest
53,grain,grain
54,interest,interest
55,interest,interest
56,interest,interest
57,interest,interest
58,interest,interest
59,grain,grain
60,interest,interest
61,interest,interest
62,grain,grain
63,grain,interest
64,grain,grain
65,grain,grain
66,grain,grain
67,interest,interest
68,grain,grain
69,grain,grain
70,grain,grain
71,interest,grain
72,grain,grain
73,grain,grain
74,grain,grain
75,interest,interest
76,interest,interest
77,grain,interest
78,grain,grain
79,grain,grain
80,interest,interest
81,grain,interest
82,interest,interest
83,grain,grain
84,grain,grain
85,grain,grain
86,grain,interest
87,grain,interest
88,grain,grain
89,interest,interest
90,interest,grain
91,grain,grain
92,grain,interest
93,grain,grain
94,grain,grain
95,grain,grain
96,grain,grain
97,grain,grain
98,grain,grain
99,interest,interest
100,grain,grain
101,grain,grain
102,grain,grain
103,grain,grain
104,grain,grain
105,grain,grain
106,grain,interest
107,grain,grain
108,interest,interest
109,grain,interest
110,interest,interest
111,interest,interest
112,interest,interest
113,interest,interest
114,grain,grain
115,grain,grain
116,interest,interest
117,interest,interest
118,grain,grain
119,grain,grain
120,grain,grain
121,interest,interest
122,grain,grain
123,grain,grain
124,grain,grain
125,grain,grain
126,interest,interest
127,grain,grain
128,interest,interest
129,grain,interest
130,interest,interest
131,interest,interest
132,grain,grain
133,interest,interest
134,interest,interest
135,interest,interest
136,grain,grain
137,grain,grain
138,grain,grain
139,interest,interest
140,interest,interest
141,interest,interest
142,interest,interest
143,grain,grain
144,grain,grain
145,interest,interest
146,interest,interest
147,grain,grain
148,grain,grain
149,interest,interest
150,interest,interest
151,interest,interest
152,grain,grain
153,grain,grain
154,grain,grain
155,grain,grain
156,grain,grain
157,grain,grain
158,grain,grain
159,interest,grain
160,grain,grain
161,grain,grain
162,grain,grain
163,grain,grain
164,grain,grain
165,grain,grain
166,grain,grain
167,grain,grain
168,grain,grain
169,grain,grain
170,grain,grain
171,grain,grain
172,grain,grain
173,grain,grain
174,grain,grain
175,grain,grain
176,grain,grain
177,grain,grain
178,grain,grain
179,grain,grain
180,grain,grain
181,grain,grain
182,grain,interest
183,grain,grain
184,grain,grain
185,grain,grain
186,grain,grain
187,grain,grain
188,grain,interest
189,grain,grain
190,interest,interest
191,grain,interest
192,interest,interest
193,interest,interest
194,interest,interest
195,grain,grain
196,interest,grain
197,interest,grain
198,grain,interest
199,interest,grain
200,grain,grain
201,grain,grain
202,interest,interest
203,interest,interest
204,interest,grain
205,interest,interest
206,grain,grain
207,grain,grain
208,interest,interest
209,interest,interest
210,grain,interest
211,interest,interest
212,interest,interest
213,grain,grain
214,interest,interest
215,grain,grain
216,interest,interest
217,grain,grain
218,grain,grain
219,grain,interest
220,grain,grain
221,grain,interest
222,interest,interest
223,grain,grain
224,interest,interest
225,grain,grain
226,grain,grain
227,interest,interest
228,grain,grain
229,grain,grain
230,interest,interest
231,interest,interest
232,interest,interest
233,grain,grain
234,interest,interest
235,grain,grain
236,interest,interest
237,interest,interest
238,grain,grain
239,interest,interest
240,interest,interest
241,interest,interest
242,grain,grain
243,grain,interest
244,interest,interest
245,grain,grain
246,interest,interest
247,grain,grain
248,grain,grain
249,interest,interest
250,grain,grain
251,interest,interest
252,interest,interest
253,interest,interest
254,interest,interest
255,interest,interest
256,interest,interest
257,grain,grain
258,interest,interest
259,interest,interest
260,interest,interest
261,grain,grain
262,interest,interest
263,grain,interest
264,grain,interest
265,interest,interest
266,grain,grain
267,grain,interest
268,grain,grain
269,grain,grain
270,grain,grain
271,grain,grain
272,grain,interest
273,grain,grain
274,grain,grain
275,interest,interest
276,grain,grain
277,grain,interest
278,grain,grain
279,interest,interest
280,interest,interest
281,grain,grain
282,grain,interest
283,grain,grain
284,interest,interest
285,interest,interest
286,interest,interest
287,grain,grain
288,grain,grain
289,interest,interest
290,grain,grain
291,interest,interest
292,interest,interest
293,interest,grain
294,grain,grain
295,grain,grain
296,interest,interest
297,grain,grain
298,grain,grain
299,interest,interest
300,interest,interest
301,interest,interest
302,interest,interest
303,grain,grain
304,grain,grain
305,grain,grain
306,grain,grain
307,grain,grain
308,interest,interest
309,grain,grain
310,grain,grain
311,grain,grain
312,grain,interest
313,grain,grain
314,interest,interest
315,grain,interest
316,interest,grain
317,grain,grain
318,interest,interest
319,interest,interest
320,interest,grain
321,interest,interest
322,interest,interest
323,grain,grain
324,grain,interest
325,grain,grain
326,interest,interest
327,interest,interest
328,interest,interest
329,grain,grain
330,interest,grain
